x,y,cell_size,xinit_r,yinit_r,n_row,n_column,category
691911.3203,9071817.082,10,675335.2173,9072861.952,104,1658,6
691921.321,9071817.082,10,675335.2173,9072861.952,104,1659,6
691931.3216,9071817.082,10,675335.2173,9072861.952,104,1660,6
691941.3223,9071817.082,10,675335.2173,9072861.952,104,1661,6
691951.323,9071817.082,10,675335.2173,9072861.952,104,1662,6
691961.3236,9071817.082,10,675335.2173,9072861.952,104,1663,6
691971.3243,9071817.082,10,675335.2173,9072861.952,104,1664,6
691981.325,9071817.082,10,675335.2173,9072861.952,104,1665,6
691991.3256,9071817.082,10,675335.2173,9072861.952,104,1666,6
692001.3263,9071817.082,10,675335.2173,9072861.952,104,1667,6
692011.327,9071817.082,10,675335.2173,9072861.952,104,1668,6
692021.3276,9071817.082,10,675335.2173,9072861.952,104,1669,6
692031.3283,9071817.082,10,675335.2173,9072861.952,104,1670,6
692041.329,9071817.082,10,675335.2173,9072861.952,104,1671,6
692051.3296,9071817.082,10,675335.2173,9072861.952,104,1672,6
692061.3303,9071817.082,10,675335.2173,9072861.952,104,1673,6
692071.331,9071817.082,10,675335.2173,9072861.952,104,1674,6
692081.3316,9071817.082,10,675335.2173,9072861.952,104,1675,6
691911.3203,9071807.083,10,675335.2173,9072861.952,105,1658,6
691921.321,9071807.083,10,675335.2173,9072861.952,105,1659,6
691931.3216,9071807.083,10,675335.2173,9072861.952,105,1660,6
691941.3223,9071807.083,10,675335.2173,9072861.952,105,1661,6
691951.323,9071807.083,10,675335.2173,9072861.952,105,1662,6
691961.3236,9071807.083,10,675335.2173,9072861.952,105,1663,6
691971.3243,9071807.083,10,675335.2173,9072861.952,105,1664,6
691981.325,9071807.083,10,675335.2173,9072861.952,105,1665,6
691991.3256,9071807.083,10,675335.2173,9072861.952,105,1666,6
692001.3263,9071807.083,10,675335.2173,9072861.952,105,1667,6
692011.327,9071807.083,10,675335.2173,9072861.952,105,1668,6
692021.3276,9071807.083,10,675335.2173,9072861.952,105,1669,6
692031.3283,9071807.083,10,675335.2173,9072861.952,105,1670,6
692041.329,9071807.083,10,675335.2173,9072861.952,105,1671,6
692051.3296,9071807.083,10,675335.2173,9072861.952,105,1672,6
692061.3303,9071807.083,10,675335.2173,9072861.952,105,1673,6
692071.331,9071807.083,10,675335.2173,9072861.952,105,1674,6
692081.3316,9071807.083,10,675335.2173,9072861.952,105,1675,6
691911.3203,9071797.084,10,675335.2173,9072861.952,106,1658,6
691921.321,9071797.084,10,675335.2173,9072861.952,106,1659,6
691931.3216,9071797.084,10,675335.2173,9072861.952,106,1660,6
691941.3223,9071797.084,10,675335.2173,9072861.952,106,1661,6
691951.323,9071797.084,10,675335.2173,9072861.952,106,1662,6
691961.3236,9071797.084,10,675335.2173,9072861.952,106,1663,6
691971.3243,9071797.084,10,675335.2173,9072861.952,106,1664,6
691981.325,9071797.084,10,675335.2173,9072861.952,106,1665,6
691991.3256,9071797.084,10,675335.2173,9072861.952,106,1666,6
692001.3263,9071797.084,10,675335.2173,9072861.952,106,1667,6
692011.327,9071797.084,10,675335.2173,9072861.952,106,1668,6
692021.3276,9071797.084,10,675335.2173,9072861.952,106,1669,6
692031.3283,9071797.084,10,675335.2173,9072861.952,106,1670,6
692041.329,9071797.084,10,675335.2173,9072861.952,106,1671,6
692051.3296,9071797.084,10,675335.2173,9072861.952,106,1672,6
692061.3303,9071797.084,10,675335.2173,9072861.952,106,1673,6
692071.331,9071797.084,10,675335.2173,9072861.952,106,1674,6
692081.3316,9071797.084,10,675335.2173,9072861.952,106,1675,6
691911.3203,9071787.085,10,675335.2173,9072861.952,107,1658,6
691921.321,9071787.085,10,675335.2173,9072861.952,107,1659,6
691931.3216,9071787.085,10,675335.2173,9072861.952,107,1660,6
691941.3223,9071787.085,10,675335.2173,9072861.952,107,1661,6
691951.323,9071787.085,10,675335.2173,9072861.952,107,1662,6
691961.3236,9071787.085,10,675335.2173,9072861.952,107,1663,6
691971.3243,9071787.085,10,675335.2173,9072861.952,107,1664,6
691981.325,9071787.085,10,675335.2173,9072861.952,107,1665,6
691991.3256,9071787.085,10,675335.2173,9072861.952,107,1666,6
692001.3263,9071787.085,10,675335.2173,9072861.952,107,1667,6
692011.327,9071787.085,10,675335.2173,9072861.952,107,1668,6
692021.3276,9071787.085,10,675335.2173,9072861.952,107,1669,6
692031.3283,9071787.085,10,675335.2173,9072861.952,107,1670,6
692041.329,9071787.085,10,675335.2173,9072861.952,107,1671,6
692051.3296,9071787.085,10,675335.2173,9072861.952,107,1672,6
692061.3303,9071787.085,10,675335.2173,9072861.952,107,1673,6
692071.331,9071787.085,10,675335.2173,9072861.952,107,1674,6
692081.3316,9071787.085,10,675335.2173,9072861.952,107,1675,6
691911.3203,9071777.087,10,675335.2173,9072861.952,108,1658,6
691921.321,9071777.087,10,675335.2173,9072861.952,108,1659,6
691931.3216,9071777.087,10,675335.2173,9072861.952,108,1660,6
691941.3223,9071777.087,10,675335.2173,9072861.952,108,1661,6
691951.323,9071777.087,10,675335.2173,9072861.952,108,1662,6
691961.3236,9071777.087,10,675335.2173,9072861.952,108,1663,6
691971.3243,9071777.087,10,675335.2173,9072861.952,108,1664,6
691981.325,9071777.087,10,675335.2173,9072861.952,108,1665,6
691991.3256,9071777.087,10,675335.2173,9072861.952,108,1666,6
692001.3263,9071777.087,10,675335.2173,9072861.952,108,1667,6
692011.327,9071777.087,10,675335.2173,9072861.952,108,1668,6
692021.3276,9071777.087,10,675335.2173,9072861.952,108,1669,6
692031.3283,9071777.087,10,675335.2173,9072861.952,108,1670,6
692041.329,9071777.087,10,675335.2173,9072861.952,108,1671,6
692051.3296,9071777.087,10,675335.2173,9072861.952,108,1672,6
