x,y,cell_size,xinit_r,yinit_r,n_row,n_column,category
685990.9264,9062358.259,10,675335.2173,9072861.952,1050,1066,8
686000.927,9062358.259,10,675335.2173,9072861.952,1050,1067,8
686010.9277,9062358.259,10,675335.2173,9072861.952,1050,1068,8
686020.9284,9062358.259,10,675335.2173,9072861.952,1050,1069,8
686030.929,9062358.259,10,675335.2173,9072861.952,1050,1070,8
686040.9297,9062358.259,10,675335.2173,9072861.952,1050,1071,8
686050.9303,9062358.259,10,675335.2173,9072861.952,1050,1072,8
686060.931,9062358.259,10,675335.2173,9072861.952,1050,1073,8
686070.9317,9062358.259,10,675335.2173,9072861.952,1050,1074,8
686080.9323,9062358.259,10,675335.2173,9072861.952,1050,1075,8
686090.933,9062358.259,10,675335.2173,9072861.952,1050,1076,8
686100.9337,9062358.259,10,675335.2173,9072861.952,1050,1077,8
686110.9343,9062358.259,10,675335.2173,9072861.952,1050,1078,8
686120.935,9062358.259,10,675335.2173,9072861.952,1050,1079,8
686130.9357,9062358.259,10,675335.2173,9072861.952,1050,1080,8
686140.9363,9062358.259,10,675335.2173,9072861.952,1050,1081,8
686150.937,9062358.259,10,675335.2173,9072861.952,1050,1082,8
686160.9377,9062358.259,10,675335.2173,9072861.952,1050,1083,8
686170.9383,9062358.259,10,675335.2173,9072861.952,1050,1084,8
686180.939,9062358.259,10,675335.2173,9072861.952,1050,1085,8
686190.9397,9062358.259,10,675335.2173,9072861.952,1050,1086,8
686200.9403,9062358.259,10,675335.2173,9072861.952,1050,1087,8
686210.941,9062358.259,10,675335.2173,9072861.952,1050,1088,8
686220.9417,9062358.259,10,675335.2173,9072861.952,1050,1089,8
686230.9423,9062358.259,10,675335.2173,9072861.952,1050,1090,8
686240.943,9062358.259,10,675335.2173,9072861.952,1050,1091,8
686250.9437,9062358.259,10,675335.2173,9072861.952,1050,1092,8
686260.9443,9062358.259,10,675335.2173,9072861.952,1050,1093,8
686270.945,9062358.259,10,675335.2173,9072861.952,1050,1094,8
686280.9457,9062358.259,10,675335.2173,9072861.952,1050,1095,8
686290.9463,9062358.259,10,675335.2173,9072861.952,1050,1096,8
686300.947,9062358.259,10,675335.2173,9072861.952,1050,1097,8
686310.9477,9062358.259,10,675335.2173,9072861.952,1050,1098,8
686320.9483,9062358.259,10,675335.2173,9072861.952,1050,1099,8
686330.949,9062358.259,10,675335.2173,9072861.952,1050,1100,8
686340.9496,9062358.259,10,675335.2173,9072861.952,1050,1101,8
686350.9503,9062358.259,10,675335.2173,9072861.952,1050,1102,8
686360.951,9062358.259,10,675335.2173,9072861.952,1050,1103,8
686370.9516,9062358.259,10,675335.2173,9072861.952,1050,1104,8
686380.9523,9062358.259,10,675335.2173,9072861.952,1050,1105,8
686390.953,9062358.259,10,675335.2173,9072861.952,1050,1106,8
686400.9536,9062358.259,10,675335.2173,9072861.952,1050,1107,8
686410.9543,9062358.259,10,675335.2173,9072861.952,1050,1108,8
686420.955,9062358.259,10,675335.2173,9072861.952,1050,1109,8
686430.9556,9062358.259,10,675335.2173,9072861.952,1050,1110,8
686440.9563,9062358.259,10,675335.2173,9072861.952,1050,1111,8
686450.957,9062358.259,10,675335.2173,9072861.952,1050,1112,8
686460.9576,9062358.259,10,675335.2173,9072861.952,1050,1113,8
686470.9583,9062358.259,10,675335.2173,9072861.952,1050,1114,8
686480.959,9062358.259,10,675335.2173,9072861.952,1050,1115,8
686490.9596,9062358.259,10,675335.2173,9072861.952,1050,1116,8
686500.9603,9062358.259,10,675335.2173,9072861.952,1050,1117,8
